product,category,stratum,seed,backend,relight_mode,relight_strength,ablation,format,provider,extraction_method,extraction_quality,boundary_contrast,ssim,psnr_db,lpips,edge_retention,hist_correlation,lighting_coherence,palette_consistency
sunglasses_black,eyewear,white,42,diffusers,none,0.0,no_coord,story,diffusers-turbo,rembg,1.0,104.12,0.9853,29.9,0.0206,0.9443,0.9848,0.001,0.6656
sunglasses_black,eyewear,white,42,diffusers,none,0.0,no_coord,banner,diffusers-turbo,rembg,1.0,104.12,0.9864,30.67,0.0173,0.9419,0.9849,0.2468,0.6531
sunglasses_black,eyewear,white,42,diffusers,none,0.0,naive,square,diffusers-turbo,rembg,1.0,104.12,0.9865,29.59,0.0277,0.9556,0.9847,0.2911,0.6742
sunglasses_black,eyewear,white,42,diffusers,none,0.0,naive,story,diffusers-turbo,rembg,1.0,104.12,0.9868,29.88,0.0262,0.9531,0.9849,0.0365,0.6548
sunglasses_black,eyewear,white,42,diffusers,none,0.0,naive,banner,diffusers-turbo,rembg,1.0,104.12,0.9874,30.33,0.0235,0.9505,0.9848,0.4981,0.6431
sunglasses_black,eyewear,white,43,procedural,none,0.0,full,square,procedural,rembg,1.0,104.12,0.9958,39.85,0.008,0.993,0.9999,0.002,0.8533
sunglasses_black,eyewear,white,43,procedural,none,0.0,full,story,procedural,rembg,1.0,104.12,0.9959,39.97,0.0078,0.9935,0.9999,0.0,0.8564
sunglasses_black,eyewear,white,43,procedural,none,0.0,full,banner,procedural,rembg,1.0,104.12,0.9954,39.23,0.0087,0.9892,0.9999,0.0017,0.8569
sunglasses_black,eyewear,white,43,procedural,none,0.0,no_shadow,square,procedural,rembg,1.0,104.12,0.9958,39.88,0.008,0.9929,0.9999,0.0017,0.8509
sunglasses_black,eyewear,white,43,procedural,none,0.0,no_shadow,story,procedural,rembg,1.0,104.12,0.9959,39.98,0.0078,0.9932,0.9999,0.0003,0.8573
sunglasses_black,eyewear,white,43,procedural,none,0.0,no_shadow,banner,procedural,rembg,1.0,104.12,0.9954,39.26,0.0087,0.989,0.9999,0.0018,0.8561
sunglasses_black,eyewear,white,43,procedural,none,0.0,no_rim,square,procedural,rembg,1.0,104.12,0.9958,39.85,0.008,0.9935,0.9999,0.002,0.8527
